"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34946.8114005	14.65	58.38	132
34946.8322338	14.65	58.38	132
34946.8530671	15.13	59.24	129
34946.8739005	14.65	58.38	132
34946.8947338	13.87	56.98	137
34946.9155671	14.34	57.82	134
34946.9364005	14.65	58.38	132
34946.9572338	15.61	60.10	126
34946.9780671	16.72	62.10	119
34946.9989005	17.20	62.97	116
34947.0197338	16.88	62.39	118
34947.0405671	17.20	62.97	116
34947.0614005	17.52	63.54	114
34947.0822338	16.24	61.24	122
34947.1030671	17.36	63.26	115
34947.1239005	17.68	63.83	113
34947.1447338	17.84	64.12	112
34947.1655671	17.20	62.97	116
34947.1864005	17.20	62.97	116
34947.2072338	16.88	62.39	118
34947.2280671	16.40	61.53	121
34947.2489005	15.61	60.10	126
34947.2697338	16.08	60.96	123
34947.2905671	14.65	58.38	132
34947.3114005	14.03	57.26	136
34947.3322338	14.18	57.54	135
34947.3530671	13.57	56.43	139
34947.3739005	13.87	56.98	137
34947.3947338	13.72	56.71	138
34947.4155671	14.18	57.54	135
34947.4364005	15.61	60.10	126
34947.4572338	13.87	56.98	137
34947.4780671	16.08	60.96	123
34947.4989005	19.78	67.62	100
34947.5197338	19.62	67.33	101
34947.5405671	19.62	67.33	101
34947.5614005	19.78	67.62	100
34947.5822338	19.78	67.62	100
34947.6030671	19.46	67.04	102
34947.6239005	19.13	66.45	104
34947.6447338	19.13	66.45	104
34947.6655671	17.36	63.26	115
34947.6864005	16.88	62.39	118
34947.7072338	17.20	62.97	116
34947.7280671	16.24	61.24	122
34947.7489005	15.61	60.10	126
34947.7697338	16.40	61.53	121
34947.7905671	15.13	59.24	129
34947.8114005	14.34	57.82	134
34947.8322338	14.03	57.26	136
34947.8530671	13.87	56.98	137
34947.8739005	14.97	58.95	130
34947.8947338	14.18	57.54	135
34947.9155671	15.44	59.81	127
34947.9364005	16.56	61.82	120
34947.9572338	16.24	61.24	122
34947.9780671	15.76	60.38	125
34947.9989005	16.56	61.82	120
34948.0197338	16.72	62.10	119
34948.0405671	16.56	61.82	120
34948.0614005	16.72	62.10	119
34948.0822338	16.56	61.82	120
34948.1030671	16.56	61.82	120
34948.1239005	17.04	62.68	117
34948.1447338	17.20	62.97	116
34948.1655671	17.68	63.83	113
34948.1864005	17.20	62.97	116
34948.2072338	16.56	61.82	120
34948.2280671	16.72	62.10	119
34948.2489005	15.28	59.52	128
34948.2697338	16.24	61.24	122
34948.2905671	15.76	60.38	125
34948.3114005	14.81	58.67	131
34948.3322338	15.28	59.52	128
34948.3530671	14.03	57.26	136
34948.3739005	13.57	56.43	139
34948.3947338	12.95	55.32	143
34948.4155671	14.81	58.67	131
34948.4364005	15.61	60.10	126
34948.4572338	14.34	57.82	134
34948.4780671	14.65	58.38	132
34948.4989005	13.72	56.71	138
34948.5197338	13.87	56.98	137
34948.5405671	14.34	57.82	134
34948.5614005	15.76	60.38	125
34948.5822338	16.08	60.96	123
34948.6030671	15.61	60.10	126
34948.6239005	15.61	60.10	126
34948.6447338	16.08	60.96	123
34948.6655671	15.92	60.67	124
34948.6864005	16.08	60.96	123
34948.7072338	16.56	61.82	120
34948.7280671	16.24	61.24	122
