"Time"	"Temperature   (*C)"	"Temperature   (*F)"
9/16/00 7:00:00.0 AM	10.08	50.16
9/16/00 7:30:00.0 AM	10.08	50.16
9/16/00 8:00:00.0 AM	10.08	50.16
9/16/00 8:30:00.0 AM	10.24	50.44
9/16/00 9:00:00.0 AM	10.24	50.44
9/16/00 9:30:00.0 AM	10.24	50.44
9/16/00 10:00:00.0 AM	10.24	50.44
9/16/00 10:30:00.0 AM	10.24	50.44
9/16/00 11:00:00.0 AM	10.08	50.16
9/16/00 11:30:00.0 AM	10.08	50.16
9/16/00 12:00:00.0 PM	10.08	50.16
9/16/00 12:30:00.0 PM	9.92	49.87
9/16/00 1:00:00.0 PM	9.92	49.87
9/16/00 1:30:00.0 PM	9.92	49.87
9/16/00 2:00:00.0 PM	9.61	49.31
9/16/00 2:30:00.0 PM	9.61	49.31
9/16/00 3:00:00.0 PM	9.61	49.31
9/16/00 3:30:00.0 PM	9.61	49.31
9/16/00 4:00:00.0 PM	9.77	49.59
9/16/00 4:30:00.0 PM	9.77	49.59
9/16/00 5:00:00.0 PM	9.92	49.87
9/16/00 5:30:00.0 PM	9.77	49.59
9/16/00 6:00:00.0 PM	9.77	49.59
9/16/00 6:30:00.0 PM	9.77	49.59
9/16/00 7:00:00.0 PM	9.77	49.59
9/16/00 7:30:00.0 PM	10.08	50.16
9/16/00 8:00:00.0 PM	10.08	50.16
9/16/00 8:30:00.0 PM	10.08	50.16
9/16/00 9:00:00.0 PM	10.08	50.16
9/16/00 9:30:00.0 PM	9.92	49.87
9/16/00 10:00:00.0 PM	9.92	49.87
9/16/00 10:30:00.0 PM	9.92	49.87
9/16/00 11:00:00.0 PM	10.08	50.16
9/16/00 11:30:00.0 PM	9.92	49.87
9/17/00 12:00:00.0 AM	9.77	49.59
9/17/00 12:30:00.0 AM	9.77	49.59
9/17/00 1:00:00.0 AM	9.61	49.31
9/17/00 1:30:00.0 AM	9.61	49.31
9/17/00 2:00:00.0 AM	9.61	49.31
9/17/00 2:30:00.0 AM	9.46	49.03
9/17/00 3:00:00.0 AM	9.46	49.03
9/17/00 3:30:00.0 AM	9.30	48.75
9/17/00 4:00:00.0 AM	9.46	49.03
9/17/00 4:30:00.0 AM	9.30	48.75
9/17/00 5:00:00.0 AM	9.14	48.47
9/17/00 5:30:00.0 AM	9.77	49.59
9/17/00 6:00:00.0 AM	9.77	49.59
9/17/00 6:30:00.0 AM	9.14	48.47
9/17/00 7:00:00.0 AM	9.46	49.03
9/17/00 7:30:00.0 AM	9.61	49.31
9/17/00 8:00:00.0 AM	9.77	49.59
9/17/00 8:30:00.0 AM	9.61	49.31
9/17/00 9:00:00.0 AM	9.61	49.31
9/17/00 9:30:00.0 AM	9.46	49.03
9/17/00 10:00:00.0 AM	9.46	49.03
9/17/00 10:30:00.0 AM	9.46	49.03
9/17/00 11:00:00.0 AM	9.30	48.75
9/17/00 11:30:00.0 AM	9.30	48.75
9/17/00 12:00:00.0 PM	9.30	48.75
9/17/00 12:30:00.0 PM	9.30	48.75
9/17/00 1:00:00.0 PM	9.46	49.03
9/17/00 1:30:00.0 PM	9.30	48.75
9/17/00 2:00:00.0 PM	9.30	48.75
9/17/00 2:30:00.0 PM	9.30	48.75
9/17/00 3:00:00.0 PM	9.30	48.75
9/17/00 3:30:00.0 PM	9.61	49.31
9/17/00 4:00:00.0 PM	9.30	48.75
9/17/00 4:30:00.0 PM	9.77	49.59
9/17/00 5:00:00.0 PM	9.30	48.75
9/17/00 5:30:00.0 PM	9.61	49.31
9/17/00 6:00:00.0 PM	9.92	49.87
9/17/00 6:30:00.0 PM	9.61	49.31
9/17/00 7:00:00.0 PM	9.77	49.59
9/17/00 7:30:00.0 PM	9.77	49.59
9/17/00 8:00:00.0 PM	9.92	49.87
9/17/00 8:30:00.0 PM	9.92	49.87
9/17/00 9:00:00.0 PM	9.92	49.87
9/17/00 9:30:00.0 PM	9.77	49.59
9/17/00 10:00:00.0 PM	9.77	49.59
9/17/00 10:30:00.0 PM	9.46	49.03
9/17/00 11:00:00.0 PM	9.46	49.03
9/17/00 11:30:00.0 PM	9.46	49.03
9/18/00 12:00:00.0 AM	9.46	49.03
9/18/00 12:30:00.0 AM	9.46	49.03
