Date,YY,MM,godas_5,godas_15,godas_25
1994-10-01,1994,10,13.333184814453148,13.322503662109398,13.305718994140648
1994-11-01,1994,11,10.710137939453148,10.696405029296898,10.678094482421898
1994-12-01,1994,12,7.935998535156273,7.929895019531273,7.922265625000023
1995-01-01,1995,1,5.787500000000023,5.792077636718773,5.802758789062523
1995-02-01,1995,2,4.182214355468773,4.186791992187523,4.202050781250023
1995-03-01,1995,3,2.9141784667968977,2.8943420410156477,2.9828430175781477
1995-04-01,1995,4,3.4848876953125227,3.4238525390625227,3.5993286132812727
1995-05-01,1995,5,6.164392089843773,5.865319824218773,5.483850097656273
1995-06-01,1995,6,11.601281738281273,8.624200439453148,6.989923095703148
1995-07-01,1995,7,16.726861572265648,11.654687500000025,9.434472656250025
1995-08-01,1995,8,18.449639892578148,12.907464599609398,9.744226074218773
1995-09-01,1995,9,16.146997070312523,14.357080078125025,11.798120117187525
1995-10-01,1995,10,13.932885742187525,13.923730468750025,13.029534912109398
1995-11-01,1995,11,10.626214599609398,10.621636962890648,10.626214599609398
1995-12-01,1995,12,7.284417724609398,7.278314208984398,7.269158935546898
1996-01-01,1996,1,4.693414306640648,4.693414306640648,4.694940185546898
1996-02-01,1996,2,3.3948608398437727,3.3994384765625227,3.4055419921875227
1996-03-01,1996,3,2.9294372558593977,2.9324890136718977,2.9324890136718977
1996-04-01,1996,4,3.6435791015625223,3.6206909179687727,3.5520263671875227
1996-05-01,1996,5,7.864282226562523,6.587091064453148,5.152703857421898
1996-06-01,1996,6,13.484277343750025,8.344964599609398,5.251885986328148
1996-07-01,1996,7,14.209069824218773,8.897332763671898,5.605920410156273
1996-08-01,1996,8,17.070184326171898,11.170953369140648,7.241693115234398
1996-09-01,1996,9,14.900323486328148,14.233483886718773,9.880029296875025
1996-10-01,1996,10,11.730981445312525,11.732507324218773,11.430383300781273
1996-11-01,1996,11,9.121636962890648,9.123162841796898,9.129266357421898
1996-12-01,1996,12,7.072320556640648,7.064691162109398,7.096734619140648
1997-01-01,1997,1,5.567773437500023,5.583032226562523,5.616601562500023
1997-02-01,1997,2,4.229516601562523,4.247827148437523,4.322625732421898
1997-03-01,1997,3,4.180688476562523,4.186791992187523,4.195947265625023
1997-04-01,1997,4,4.664422607421898,4.632379150390648,4.597283935546898
1997-05-01,1997,5,7.403466796875023,7.195916748046898,6.967034912109398
1997-06-01,1997,6,11.726403808593773,10.313378906250025,8.904962158203148
1997-07-01,1997,7,16.290429687500023,12.449700927734398,7.928369140625023
1997-08-01,1997,8,17.038140869140648,14.144982910156273,8.688287353515648
1997-09-01,1997,9,15.542749023437525,15.023919677734398,12.081933593750025
1997-10-01,1997,10,12.780816650390648,12.791497802734398,12.727410888671898
1997-11-01,1997,11,9.762536621093773,9.762536621093773,9.762536621093773
1997-12-01,1997,12,7.449243164062523,7.449243164062523,7.450769042968773
1998-01-01,1998,1,5.914147949218773,5.914147949218773,5.917199707031273
1998-02-01,1998,2,4.513360595703148,4.513360595703148,4.517938232421898
1998-03-01,1998,3,4.044885253906273,4.043359375000023,4.043359375000023
1998-04-01,1998,4,5.348046875000023,5.299218750000023,5.082513427734398
1998-05-01,1998,5,8.235070800781273,7.998559570312523,7.281365966796898
1998-06-01,1998,6,12.142968750000025,10.807794189453148,9.136895751953148
1998-07-01,1998,7,16.951165771484398,12.376458740234398,8.247277832031273
1998-08-01,1998,8,18.507623291015648,11.671472167968773,7.662866210937523
1998-09-01,1998,9,16.078332519531273,13.960351562500025,8.492974853515648
1998-10-01,1998,10,12.110925292968773,12.068200683593773,10.852044677734398
1998-11-01,1998,11,8.946160888671898,8.943109130859398,8.933953857421898
1998-12-01,1998,12,7.305810546875023,7.321069335937523,7.339379882812523
1999-01-01,1999,1,5.767663574218773,5.784448242187523,5.805810546875023
1999-02-01,1999,2,4.408074951171898,4.420281982421898,4.440118408203148
1999-03-01,1999,3,3.1476379394531477,3.1476379394531477,3.1476379394531477
1999-04-01,1999,4,4.166955566406273,4.086083984375023,4.107446289062523
1999-05-01,1999,5,8.219812011718773,7.961938476562523,7.140985107421898
1999-06-01,1999,6,14.024438476562525,13.382043457031273,10.179101562500025
1999-07-01,1999,7,17.210565185546898,14.086999511718773,8.517388916015648
1999-08-01,1999,8,19.035577392578148,14.660760498046898,9.738122558593773
1999-09-01,1999,9,17.318902587890648,16.383508300781273,11.557031250000025
1999-10-01,1999,10,13.314874267578148,13.270623779296898,12.399346923828148
1999-11-01,1999,11,10.269128417968773,10.263024902343773,10.252343750000025
1999-12-01,1999,12,8.099267578125023,8.096215820312523,8.093164062500023
2000-01-01,2000,1,6.344476318359398,6.341424560546898,6.346002197265648
2000-02-01,2000,2,4.661370849609398,4.656793212890648,4.662896728515648
2000-03-01,2000,3,4.562188720703148,4.565240478515648,4.549981689453148
2000-04-01,2000,4,5.590661621093773,5.578454589843773,5.560144042968773
2000-05-01,2000,5,8.178613281250023,7.867333984375023,7.102838134765648
2000-06-01,2000,6,12.352014160156273,11.883569335937525,9.561120605468773
2000-07-01,2000,7,16.755853271484398,15.409997558593773,10.765069580078148
2000-08-01,2000,8,17.970483398437523,17.669885253906273,13.176019287109398
2000-09-01,2000,9,16.787896728515648,16.816888427734398,15.435937500000025
2000-10-01,2000,10,14.181604003906273,14.187707519531273,14.210595703125025
2000-11-01,2000,11,11.743188476562525,11.749291992187525,11.758447265625025
2000-12-01,2000,12,9.526025390625025,9.522973632812525,9.530603027343773
2001-01-01,2001,1,6.851068115234398,6.840386962890648,6.848016357421898
2001-02-01,2001,2,5.695947265625023,5.698999023437523,5.700524902343773
2001-03-01,2001,3,5.460961914062523,5.462487792968773,5.464013671875023
2001-04-01,2001,4,5.235101318359398,5.225946044921898,5.212213134765648
2001-05-01,2001,5,8.291528320312523,8.055017089843773,7.496545410156273
2001-06-01,2001,6,13.682641601562525,11.051934814453148,8.599786376953148
2001-07-01,2001,7,16.549859619140648,13.852014160156273,9.231500244140648
2001-08-01,2001,8,18.501519775390648,15.710595703125025,11.288446044921898
2001-09-01,2001,9,17.192254638671898,16.940484619140648,14.054956054687525
2001-10-01,2001,10,14.451715087890648,14.427301025390648,14.361657714843773
2001-11-01,2001,11,11.567712402343773,11.557031250000025,11.546350097656273
2001-12-01,2001,12,9.796105957031273,9.791528320312525,9.793054199218773
2002-01-01,2002,1,7.923791503906273,7.914636230468773,7.919213867187523
2002-02-01,2002,2,6.741204833984398,6.739678955078148,6.739678955078148
2002-03-01,2002,3,6.004174804687523,6.004174804687523,6.002648925781273
2002-04-01,2002,4,6.359735107421898,6.349053955078148,6.312432861328148
2002-05-01,2002,5,8.500604248046898,8.421258544921898,8.102319335937523
2002-06-01,2002,6,12.031579589843773,11.625695800781273,10.066186523437525
2002-07-01,2002,7,17.088494873046898,15.779260253906273,11.512780761718773
2002-08-01,2002,8,19.204949951171898,18.449639892578148,13.761987304687525
2002-09-01,2002,9,17.729394531250023,17.689721679687523,16.667352294921898
2002-10-01,2002,10,15.020867919921898,15.002557373046898,14.976617431640648
2002-11-01,2002,11,11.053460693359398,11.044305419921898,11.033624267578148
2002-12-01,2002,12,7.867333984375023,7.865808105468773,7.862756347656273
2003-01-01,2003,1,5.343469238281273,5.346520996093773,5.343469238281273
2003-02-01,2003,2,3.4299560546875227,3.4330078125000227,3.4284301757812727
2003-03-01,2003,3,3.0042053222656477,2.9736877441406477,2.8561950683593977
2003-04-01,2003,4,3.7275024414062727,3.7198730468750223,3.7122436523437727
2003-05-01,2003,5,7.031121826171898,6.747308349609398,5.857690429687523
2003-06-01,2003,6,11.334222412109398,10.266076660156273,8.381585693359398
2003-07-01,2003,7,16.067651367187523,12.333703613281273,9.464990234375025
2003-08-01,2003,8,17.920129394531273,14.161767578125025,9.886132812500025
2003-09-01,2003,9,16.787896728515648,16.610894775390648,12.449700927734398
2003-10-01,2003,10,13.418664550781273,13.392724609375025,12.507684326171898
2003-11-01,2003,11,9.063653564453148,9.048394775390648,9.033135986328148
2003-12-01,2003,12,6.423822021484398,6.431451416015648,6.440606689453148
2004-01-01,2004,1,4.629327392578148,4.626275634765648,4.635430908203148
2004-02-01,2004,2,2.5281311035156477,2.5098205566406477,2.5281311035156477
2004-03-01,2004,3,2.1191650390625227,2.1084838867187727,2.1115356445312727
2004-04-01,2004,4,3.2666870117187727,3.2330871582031477,3.1628967285156477
2004-05-01,2004,5,7.522485351562523,6.724420166015648,5.070306396484398
2004-06-01,2004,6,11.102288818359398,10.104333496093773,5.531152343750023
2004-07-01,2004,7,15.803674316406273,11.271661376953148,5.944665527343773
2004-08-01,2004,8,17.015252685546898,10.542291259765648,5.479272460937523
2004-09-01,2004,9,16.208032226562523,13.870324707031273,8.712701416015648
2004-10-01,2004,10,13.247735595703148,13.247735595703148,13.014276123046898
2004-11-01,2004,11,9.376489257812525,9.399377441406273,9.451257324218773
2004-12-01,2004,12,7.530114746093773,7.542321777343773,7.568261718750023
2005-01-01,2005,1,5.480798339843773,5.483850097656273,5.486901855468773
2005-02-01,2005,2,3.4223266601562727,3.4238525390625227,3.4238525390625227
2005-03-01,2005,3,2.7997375488281477,2.7921081542968977,2.7600646972656477
2005-04-01,2005,4,4.838372802734398,4.713250732421898,4.150170898437523
2005-05-01,2005,5,7.441613769531273,6.889215087890648,6.283410644531273
2005-06-01,2005,6,12.736566162109398,8.363275146484398,7.290521240234398
2005-07-01,2005,7,16.885552978515648,9.753381347656273,7.772729492187523
2005-08-01,2005,8,17.480676269531273,8.138940429687523,7.800195312500023
2005-09-01,2005,9,15.272637939453148,12.793023681640648,11.708093261718773
2005-10-01,2005,10,13.087518310546898,13.008172607421898,12.905938720703148
2005-11-01,2005,11,10.110437011718773,10.116540527343773,10.119592285156273
2005-12-01,2005,12,7.455346679687523,7.458398437500023,7.462976074218773
2006-01-01,2006,1,5.729516601562523,5.729516601562523,5.732568359375023
2006-02-01,2006,2,4.606439208984398,4.607965087890648,4.607965087890648
2006-03-01,2006,3,3.7900634765625223,3.7839599609375223,3.7687011718750223
2006-04-01,2006,4,5.076409912109398,4.980279541015648,4.763604736328148
2006-05-01,2006,5,7.366845703125023,6.858697509765648,6.278833007812523
2006-06-01,2006,6,11.651635742187525,9.104852294921898,8.088586425781273
2006-07-01,2006,7,15.608361816406273,8.935479736328148,7.968041992187523
2006-08-01,2006,8,16.615472412109398,9.690820312500025,7.925317382812523
2006-09-01,2006,9,14.581414794921898,13.731469726562525,12.023950195312525
2006-10-01,2006,10,13.044793701171898,13.191278076171898,13.432397460937525
2006-11-01,2006,11,10.470574951171898,10.478204345703148,10.577386474609398
