MM,DD,YY,HRI_AverageTemp,HRI_MaxTemp,HRI_TempDifference,Samples_per_day
1,15,2002,5.7543750000000005,5.91,0.15562499999999968,48
1,15,2005,5.0008333333333335,5.24,0.23916666666666675,48
1,15,2006,5.911041666666667,6.06,0.14895833333333286,48
1,15,2008,4.84,4.84,0,48
1,15,2009,3.2107916666666667,3.327,0.11620833333333325,48
1,15,2010,3.122291666666667,3.71,0.587708333333333,48
1,15,2012,6.044416666666667,6.56,0.5155833333333328,48
1,15,2013,6.253020833333333,6.408,0.1549791666666671,48
1,15,2014,4.641395833333333,4.869,0.2276041666666666,48
1,15,2015,4.8833125,5.05,0.1666875000000001,48
1,15,2016,6.97325,7.116,0.1427499999999995,48
1,16,2000,3.6825,4.42,0.7374999999999998,48
1,16,2002,5.49,5.6,0.10999999999999943,48
1,16,2005,4.882083333333333,5.08,0.19791666666666696,48
1,16,2006,5.447708333333333,5.91,0.4622916666666672,48
1,16,2008,4.51375,4.84,0.32624999999999993,48
1,16,2009,3.1265625,3.301,0.17443750000000025,48
1,16,2010,3.12625,3.42,0.29374999999999973,48
1,16,2012,5.2523125,5.462,0.20968749999999936,48
1,16,2013,6.298041666666666,6.408,0.10995833333333405,48
1,16,2014,4.667958333333333,4.766,0.09804166666666703,48
1,16,2015,4.5146875,5.024,0.5093125000000001,48
1,16,2016,6.5573125,7.015,0.4576874999999996,48
1,17,2000,4.14875,4.89,0.74125,48
1,17,2002,5.397291666666667,5.6,0.20270833333333282,48
1,17,2005,4.8497916666666665,5.08,0.23020833333333357,48
1,17,2006,5.37,5.6,0.22999999999999954,48
1,17,2008,4.489583333333333,4.84,0.3504166666666668,48
1,17,2009,3.197,3.512,0.31499999999999995,48
1,17,2010,3.42875,3.71,0.28125,48
1,17,2012,5.7619375,6.128,0.36606249999999996,48
1,17,2013,6.599520833333333,6.813,0.21347916666666666,48
1,17,2014,4.694458333333333,4.869,0.17454166666666637,48
1,17,2015,4.038145833333333,4.402,0.36385416666666703,48
1,17,2016,6.1775,6.509,0.33150000000000013,48
1,18,2000,3.517916666666667,4.27,0.7520833333333328,48
1,18,2002,5.314791666666667,5.6,0.2852083333333324,48
1,18,2005,4.462916666666667,4.93,0.4670833333333331,48
1,18,2006,5.283333333333333,5.44,0.15666666666666718,48
1,18,2008,4.592291666666666,4.84,0.24770833333333364,48
1,18,2009,3.021916666666667,3.406,0.38408333333333333,48
1,18,2010,3.4320833333333334,3.71,0.2779166666666666,48
1,18,2012,6.221541666666667,6.56,0.33845833333333264,48
1,18,2013,6.47475,6.712,0.23724999999999952,48
1,18,2014,4.7571666666666665,4.921,0.16383333333333372,48
1,18,2015,4.319270833333333,4.636,0.31672916666666673,48
1,18,2016,6.188583333333334,6.509,0.32041666666666657,48
1,19,2000,4.008125,4.42,0.4118750000000002,48
1,19,2002,5.503333333333334,5.6,0.09666666666666579,48
1,19,2005,3.819375,4.14,0.3206249999999997,48
1,19,2006,5.071458333333333,5.28,0.20854166666666707,48
1,19,2008,4.815833333333333,5.13,0.3141666666666669,48
1,19,2009,3.0711458333333335,3.564,0.4928541666666666,48
1,19,2010,3.4320833333333334,3.71,0.2779166666666666,48
1,19,2012,5.989395833333333,6.255,0.26560416666666686,48
1,19,2013,6.2503125,6.458,0.20768750000000047,48
1,19,2014,4.485416666666667,4.844,0.3585833333333337,48
1,19,2015,4.730895833333333,5.334,0.6031041666666663,48
1,19,2016,5.9265625,6.535,0.6084375,48
1,20,2000,4.069791666666667,4.42,0.3502083333333328,48
1,20,2002,5.34,5.44,0.10000000000000053,48
1,20,2005,3.913125,4.3,0.38687499999999986,48
1,20,2006,5.029583333333333,5.28,0.2504166666666672,48
1,20,2008,4.652708333333333,5.13,0.4772916666666669,48
1,20,2009,3.4659583333333335,3.88,0.4140416666666664,48
1,20,2010,3.42,3.42,0,48
1,20,2012,5.637958333333334,6.026,0.3880416666666662,48
1,20,2013,6.2651666666666666,6.458,0.19283333333333363,48
1,20,2014,4.375791666666666,4.973,0.5972083333333336,48
1,20,2015,4.948520833333333,5.076,0.12747916666666637,48
1,20,2016,5.253354166666667,6.102,0.8486458333333333,48
1,21,2000,3.8360416666666666,3.95,0.1139583333333336,48
1,21,2002,5.2675,5.28,0.012500000000000178,48
1,21,2005,3.258958333333333,3.67,0.41104166666666675,48
1,21,2006,5.13,5.13,0,2
1,21,2008,4.3445833333333335,4.84,0.4954166666666664,48
1,21,2009,3.1435833333333334,3.433,0.28941666666666643,48
1,21,2010,3.42,3.42,0,48
1,21,2012,5.3131875,5.719,0.4058125000000006,48
1,21,2013,6.146875,6.23,0.08312500000000078,48
1,21,2014,4.478583333333333,5.179,0.7004166666666674,48
1,21,2015,4.92275,5.076,0.1532499999999999,48
1,21,2016,4.707104166666666,5.128,0.4208958333333337,48
1,22,2000,3.1645833333333333,3.95,0.7854166666666669,48
1,22,2002,5.138958333333333,5.28,0.14104166666666718,48
1,22,2005,2.890416666666667,3.2,0.3095833333333333,48
1,22,2008,4.537916666666667,5.13,0.5920833333333331,48
1,22,2009,2.9942083333333334,3.564,0.5697916666666667,48
1,22,2010,3.35125,3.42,0.06875000000000009,48
